Source,Target,Mechanism,CooccurrenceFrequency,CooccurrenceProbability,RelationType
iNNP,mCiOP,w-COOH,0,0.0,v_shape
iNNP,mCPP,w-ab,0,0.0,v_shape
iNNP,mNP,mono,0,0.0,v_shape
iNNP,mHNP,w-1-OH,0,0.0,v_shape
iNNP,mONP,w-1-oxo,0,0.0,v_shape
iNNP,m8COP,w-COOH,0,0.0,v_shape
ODP,mOP,mono,0,0.0,v_shape
ODP,mHOP,w-1-OH,0,0.0,v_shape
ODP,mOOP,w-1-oxo,0,0.0,v_shape
ODP,mCHpP,w-COOH,0,0.0,v_shape
ODP,mCPP,w-ab,0,0.0,v_shape
ODP,mDP,mono,0,0.0,v_shape
ODP,m9PHHP,w-1-OH,0,0.0,v_shape
ODP,m9POHP,w-1-oxo,0,0.0,v_shape
ODP,mPHHP,mOH,0,0.0,v_shape
ODP,m1POHP,moxo,0,0.0,v_shape
ODP,mCNP,w-COOH,0,0.0,v_shape
HUP,mHpP,mono,0,0.0,v_shape
HUP,mHHpP,w-1-OH,0,0.0,v_shape
HUP,mOHpP,w-1-oxo,0,0.0,v_shape
HUP,mCHxP,w-COOH,0,0.0,v_shape
HUP,mCPP,w-ab,0,0.0,v_shape
HUP,mUP,mono,0,0.0,v_shape
HUP,mHUP,w-1-OH,0,0.0,v_shape
HUP,mOUP,w-1-oxo,0,0.0,v_shape
HUP,mCDP,w-COOH,0,0.0,v_shape
DNP,mNP,mono,3,0.072405276,v_shape
DNP,mHNP,w-1-OH,0,0.0,v_shape
DNP,mONP,w-1-oxo,0,0.0,v_shape
DNP,m8COP,w-COOH,0,0.0,v_shape
DNP,mCPP,w-ab,13,0.122280588,v_shape
iDiNP,miDP,mono,0,0.0,v_shape
iDiNP,mHiDP,w-1-OH,0,0.0,v_shape
iDiNP,mCiNP,w-COOH,0,0.0,v_shape
iDiNP,mCPP,w-ab,0,0.0,v_shape
iDiNP,miNP,mono,0,0.0,v_shape
iDiNP,mHiNP,w-1-OH,0,0.0,v_shape
iDiNP,mCiOP,w-COOH,0,0.0,v_shape
iOiUP,miOP,mono,0,0.0,v_shape
iOiUP,mHiOP,w-1-OH,0,0.0,v_shape
iOiUP,71CMP,w-COOH,0,0.0,v_shape
iOiUP,mCPP,w-ab,0,0.0,v_shape
iOiUP,miUP,mono,0,0.0,v_shape
iOiUP,mHiUP,w-1-OH,0,0.0,v_shape
iOiUP,109CMP,w-COOH,0,0.0,v_shape
DDcP,mDcP,mono,0,0.0,sequential
iOUP,miOP,mono,0,0.0,v_shape
iOUP,mHiOP,w-1-OH,0,0.0,v_shape
iOUP,71CMP,w-COOH,0,0.0,v_shape
iOUP,mCPP,w-ab,0,0.0,v_shape
iOUP,mUP,mono,0,0.0,v_shape
iOUP,mHUP,w-1-OH,0,0.0,v_shape
iOUP,mOUP,w-1-oxo,0,0.0,v_shape
iOUP,mCDP,w-COOH,0,0.0,v_shape
DeiNP,mDP,mono,0,0.0,v_shape
DeiNP,m9PHHP,w-1-OH,0,0.0,v_shape
DeiNP,m9POHP,w-1-oxo,0,0.0,v_shape
DeiNP,mPHHP,mOH,0,0.0,v_shape
DeiNP,m1POHP,moxo,0,0.0,v_shape
DeiNP,mCNP,w-COOH,0,0.0,v_shape
DeiNP,mCPP,w-ab,0,0.0,v_shape
DeiNP,miUP,mono,0,0.0,v_shape
DeiNP,mHiUP,w-1-OH,0,0.0,v_shape
DeiNP,109CMP,w-COOH,0,0.0,v_shape
HiTP,mHP,mono,0,0.0,v_shape
HiTP,mHHP,w-1-OH,0,0.0,v_shape
HiTP,mOHP,w-1-oxo,0,0.0,v_shape
HiTP,m5CPP,w-COOH,0,0.0,v_shape
HiTP,mCPP,w-ab,0,0.0,v_shape
HiTP,miTP,mono,0,0.0,v_shape
HiTP,mHiTP,w-1-OH,0,0.0,v_shape
HiTP,121CMP,w-COOH,0,0.0,v_shape
iDNP,miDP,mono,0,0.0,v_shape
iDNP,mHiDP,w-1-OH,0,0.0,v_shape
iDNP,mCiNP,w-COOH,0,0.0,v_shape
iDNP,mCPP,w-ab,0,0.0,v_shape
iDNP,mNP,mono,0,0.0,v_shape
iDNP,mHNP,w-1-OH,0,0.0,v_shape
iDNP,mONP,w-1-oxo,0,0.0,v_shape
iDNP,m8COP,w-COOH,0,0.0,v_shape
iNiUP,miNP,mono,0,0.0,v_shape
iNiUP,mHiNP,w-1-OH,0,0.0,v_shape
iNiUP,mCiOP,w-COOH,0,0.0,v_shape
iNiUP,mCPP,w-ab,0,0.0,v_shape
iNiUP,miUP,mono,0,0.0,v_shape
iNiUP,mHiUP,w-1-OH,0,0.0,v_shape
iNiUP,109CMP,w-COOH,0,0.0,v_shape
DiDP,miDP,mono,59,0.126036207,v_shape
DiDP,mHiDP,w-1-OH,0,0.0,v_shape
DiDP,mCiNP,w-COOH,0,0.0,v_shape
DiDP,mCPP,w-ab,86,0.17429358,v_shape
DeNP,mDP,mono,0,0.0,v_shape
DeNP,m9PHHP,w-1-OH,0,0.0,v_shape
DeNP,m9POHP,w-1-oxo,0,0.0,v_shape
DeNP,mPHHP,mOH,0,0.0,v_shape
DeNP,m1POHP,moxo,0,0.0,v_shape
DeNP,mCNP,w-COOH,0,0.0,v_shape
DeNP,mCPP,w-ab,0,0.0,v_shape
DeNP,mNP,mono,0,0.0,v_shape
DeNP,mHNP,w-1-OH,0,0.0,v_shape
DeNP,mONP,w-1-oxo,0,0.0,v_shape
DeNP,m8COP,w-COOH,0,0.0,v_shape
iNUP,miNP,mono,0,0.0,v_shape
iNUP,mHiNP,w-1-OH,0,0.0,v_shape
iNUP,mCiOP,w-COOH,0,0.0,v_shape
iNUP,mCPP,w-ab,0,0.0,v_shape
iNUP,mUP,mono,0,0.0,v_shape
iNUP,mHUP,w-1-OH,0,0.0,v_shape
iNUP,mOUP,w-1-oxo,0,0.0,v_shape
iNUP,mCDP,w-COOH,0,0.0,v_shape
iUNP,miUP,mono,0,0.0,v_shape
iUNP,mHiUP,w-1-OH,0,0.0,v_shape
iUNP,109CMP,w-COOH,0,0.0,v_shape
iUNP,mCPP,w-ab,0,0.0,v_shape
iUNP,mNP,mono,0,0.0,v_shape
iUNP,mHNP,w-1-OH,0,0.0,v_shape
iUNP,mONP,w-1-oxo,0,0.0,v_shape
iUNP,m8COP,w-COOH,0,0.0,v_shape
NUP,mNP,mono,0,0.0,v_shape
NUP,mHNP,w-1-OH,0,0.0,v_shape
NUP,mONP,w-1-oxo,0,0.0,v_shape
NUP,m8COP,w-COOH,0,0.0,v_shape
NUP,mCPP,w-ab,0,0.0,v_shape
NUP,mUP,mono,0,0.0,v_shape
NUP,mHUP,w-1-OH,0,0.0,v_shape
