,Up,Down,Name,Number,CooccurrenceProbability
263,MNPMP,mCiNP,w-COOH,0,0
264,MNPMP,mCPP,w-ab,0,0
265,MNPMP,mBzP,mono,0,0
266,BDP,mBP,mono,0,0
267,BDP,m2HBP,mOH,0,0
268,BDP,mHBP,w-1-OH,0,0
269,BDP,mDP,mono,0,0
270,BDP,m9PHHP,w-1-OH,0,0
271,BDP,mPHHP,mOH,0,0
272,BDP,m1POHP,moxo,0,0
273,BDP,mCNP,w-COOH,0,0
274,BDP,mCPP,w-ab,0,0
275,BDP,m9POHP,w-1-oxo,0,0
276,NPP,mNP,mono,0,0
277,NPP,mHNP,w-1-OH,0,0
278,NPP,mONP,w-1-oxo,0,0
279,NPP,m8COP,w-COOH,0,0
280,NPP,mCPP,w-ab,0,0
281,NPP,mPP,mono,0,0
282,NPP,m4HPP,w-1-OH,0,0
283,NPP,m4OPP,w-1-oxo,0,0
284,NPP,mCBP,w-COOH,0,0
285,DHpP,mHHpP,w-1-OH,0,0
286,DHpP,mOHpP,w-1-oxo,0,0
287,DHpP,mCHxP,w-COOH,0,0
288,DHpP,mCPP,w-ab,8,0.149557532
289,DiOP,miOP,mono,0,0
290,DiOP,mHiOP,w-1-OH,0,0
291,DiOP,71CMP,w-COOH,0,0
292,DiOP,mCPP,w-ab,5,0.16114398
293,EHiDP,mEHP,mono,0,0
294,EHiDP,mEHHP,w-1-OH,0,0
295,EHiDP,mEOHP,w-1-oxo,0,0
296,EHiDP,mECPP,w-COOH,0,0
297,EHiDP,mCMHP,w-COOH-br,0,0
298,EHiDP,mCPP,w-ab,0,0
299,EHiDP,mHiDP,w-1-OH,0,0
300,EHiDP,miDP,mono,0,0
301,EHiDP,mCiNP,w-COOH,0,0
302,HiDP,mHP,mono,0,0
303,HiDP,mHHP,w-1-OH,0,0
304,HiDP,mOHP,w-1-oxo,0,0
305,HiDP,m5CPP,w-COOH,0,0
306,HiDP,mCPP,w-ab,0,0
307,HiDP,miDP,mono,0,0
308,HiDP,mHiDP,w-1-OH,0,0
309,HiDP,mCiNP,w-COOH,0,0
310,iNiOP,miNP,mono,0,0
311,iNiOP,mHiNP,w-1-OH,0,0
312,DPrHP,mHPrHP,w-1-OH,5,0.138219731
313,iNiOP,mCiOP,w-COOH,0,0
314,iNiOP,mCPP,w-ab,0,0
315,iNiOP,miOP,mono,0,0
316,iNiOP,mHiOP,w-1-OH,0,0
317,iNiOP,71CMP,w-COOH,0,0
318,HNP,mHpP,mono,0,0
319,HNP,mHHpP,w-1-OH,0,0
320,HNP,mOHpP,w-1-oxo,0,0
321,HNP,mCHxP,w-COOH,0,0
322,HNP,mCPP,w-ab,0,0
323,HNP,mNP,mono,0,0
324,HNP,mHNP,w-1-OH,0,0
325,HNP,mONP,w-1-oxo,0,0
326,HNP,m8COP,w-COOH,0,0
327,DOP,mOP,mono,144,0.172893005
328,DOP,mHOP,w-1-OH,0,0
329,DOP,mOOP,w-1-oxo,0,0
330,DOP,mCHpP,w-COOH,5,0.01836271
331,DOP,mCPP,w-ab,135,0.162887446
332,HDP,mHP,mono,0,0
333,HDP,mHHP,w-1-OH,0,0
334,HDP,mOHP,w-1-oxo,0,0
335,HDP,m5CPP,w-COOH,0,0
336,HDP,mCPP,w-ab,0,0
337,HDP,mDP,mono,0,0
338,HDP,m9PHHP,w-1-OH,0,0
339,HDP,m9POHP,w-1-oxo,0,0
340,HDP,mPHHP,mOH,0,0
341,HDP,m1POHP,moxo,0,0
342,HDP,mCNP,w-COOH,0,0
343,BCHPP,mCHxPP,mono,0,0
344,iONP,miOP,mono,0,0
345,iONP,mHiOP,w-1-OH,0,0
346,iONP,71CMP,w-COOH,0,0
347,iONP,mCPP,w-ab,0,0
348,iONP,mNP,mono,0,0
349,iONP,mHNP,w-1-OH,0,0
350,iONP,mONP,w-1-oxo,0,0
351,iONP,m8COP,w-COOH,0,0
352,iDiOP,miDP,mono,0,0
