Index,Name,PAE,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TPR1,TPR2,TPR3,TPR4,TPR5,TPR6,TPR7,TPR8,TPR9
338,iTUP_w,iTUP,miTP,121CMP,mCPP,,,,,,,,635,637,638,,,,,,
339,iTUP_w-1,iTUP,mUP,mHUP,mOUP,,,,,,,,639,640,641,,,,,,
340,iTUP_w,iTUP,mUP,mCDP,mCPP,,,,,,,,639,642,638,,,,,,
341,DDdP_w-1,DDdP,mDdP,mHDdP,mODdP,,,,,,,,643,644,645,,,,,,
342,DDdP_w,DDdP,mDdP,120CMP,mCPP,,,,,,,,643,646,647,,,,,,
343,DiTP_w-1,DiTP,miTP,mHiTP,,,,,,,,,648,649,,,,,,,
344,DiTP_w,DiTP,miTP,121CMP,mCPP,,,,,,,,648,650,651,,,,,,
345,DTP_w-1,DTP,mTP,mHTP,mOTP,,,,,,,,652,653,654,,,,,,
346,DTP_w,DTP,mTP,122CMP,mCPP,,,,,,,,652,655,656,,,,,,
347,DOcP_w-1,DOcP,mOcP,mHOcP,mOOcP,,,,,,,,657,658,659,,,,,,
348,DOcP_w,DOcP,mOcP,123CMP,mCPP,,,,,,,,657,660,661,,,,,,
349,DEEP_w,DEEP,mEEP,mDeGP,,,,,,,,,17,662,,,,,,,
